x,y,z,label,text_snippet
6.588391,10.940312,-0.58856493,fear,while cycling in the country...
16.034035,-0.0022452488,-0.10070011,joy,i had pocket qq and was feeling pretty confident l...
-4.0432973,4.077918,3.3421655,sadness,i am in no way complaining or whining or feeling u...
-5.394116,1.2911383,-3.8985953,anger,i feel a bit stressed because it feels like im sup...
2.6180153,5.12958,0.07581251,surprise,i tell the people closest to me things that i am f...
-0.9123854,8.088692,-2.496897,fear,when my relatives and i were in a car going slowly...
13.788944,1.8613973,-0.51644456,joy,i am trying to work on finding the joy in the simp...
-9.235729,0.15448643,-0.3043115,sadness,i know intellectually that it s not true but i fee...
-9.167643,2.943361,-0.07097305,fear,i suppose he feels badly because he was a bit skep...
-7.617307,0.9713899,0.42562926,sadness,i didn t feel like doing much chris and i mostly j...
-1.4799552,1.0227811,0.8749989,love,im not going to lie some days i feel uber supporti...
1.6910653,5.9280167,-1.2098135,sadness,i suppose its only natural to squeeze every half h...
-10.3774,-1.2045221,-1.9365903,sadness,i was a feeling a bit low a few weeks back and i j...
15.044297,0.3184546,-2.6041973,joy,im even starting to feel more sociable...
-6.968783,-0.53908855,-0.59675,sadness,i just focus on my sermon itself and think about a...
3.2188938,2.9898643,-3.505662,joy,i feel like things are getting a little overwhelmi...
-0.14041841,1.7481478,1.6341121,anger,i didnt even have time to feel jealous i was so bu...
14.461484,3.888091,0.6193342,love,i feel accepted there said panorma who is from ind...
-7.3579063,1.4040141,-0.32861814,fear,i was feeling doubtful and sad about the relations...
-10.942737,-3.1370823,-0.5372212,sadness,i was feeling bad over it with every passing minut...
12.876082,2.2058098,-0.39468002,sadness,i feel like every day i grow stronger and become l...
-8.920315,-3.667535,-0.34582877,sadness,i feel so regretful for things i cannot remember b...
-3.89674,2.2194912,-1.0185903,sadness,i feel discouraged and beaten down i do better whe...
-5.9702797,2.43628,0.11243346,fear,i feel hesitant to share something i know and have...
-7.6603937,0.89277816,-0.93208706,sadness,i was feeling unhappy with my work i joined in wit...
-1.3001208,0.6808975,-2.4121385,anger,im home i can feel how the cold has seeped into my...
-6.827569,0.7035638,-2.5361807,sadness,i feel a little pained but that will probably pass...
14.621635,-4.703174,-0.14758234,joy,i feel more content with what i have achieved and ...
2.3837209,-0.49256077,3.0534027,joy,i don t want to tell people how my first was with ...
-0.72207963,1.2617104,1.8959373,fear,i feel weird with just his perfect day of worry fr...
-6.5378184,-0.46912473,2.1788838,joy,i think what i m going to do is care less about an...
-10.364194,-5.215918,0.84343755,fear,i could loose my job i would be so f amp ed for xm...
4.4929223,3.9301898,-1.1980824,joy,i met you i used to want to lock myself into a vau...
17.111633,-7.8142753,1.5915694,joy,i feel like this will be an amazing series and wil...
-7.8493123,1.0841174,0.9512431,fear,i feel bashful under his teasing scrutiny...
14.521247,3.5655198,2.972881,joy,i feel it is my solemn duty to share this divine k...
-10.018325,-4.3499,0.8585963,sadness,i was feeling pretty gloomy when i started writing...
6.127444,8.286376,1.4350575,love,i reckon this is fair enough yes the queen is thei...
-1.2139148,-2.3242023,-2.6723344,sadness,i was feeling a bit miserable and the only thing t...
-7.928397,-1.6549351,-3.3408322,sadness,i sigh and say im tired and feeling very needy...
-6.376427,3.9036324,5.114129,joy,i feel writing to sell to pander to popular taste ...
-11.04462,-1.8125488,1.6782261,anger,i wasnt going to post anything about his death bec...
17.62566,-3.8691092,0.8387159,joy,i feel glad to be teaching nursery children who ha...
-7.8637056,-0.16370429,-0.14634751,fear,i feel scared when my father suddenly opens a door...
-8.994255,-3.1229875,1.1071069,sadness,i am feeling stupid and stuck and i know that the ...
-9.939416,-0.04354077,1.9847733,sadness,i have given said friend space distance talked to ...
-10.127729,-2.9784477,2.2084148,sadness,im skipping floors one and four because theyre two...
-10.992109,-3.016817,1.968684,sadness,i still feel ashamed at how i treated him...
-10.452017,-4.009284,1.2244602,sadness,i feel so sorry for californians...
14.583934,0.8609128,-3.0960777,joy,i then had my watch from am this morning but was f...
-6.1455097,5.5141277,-0.45166954,sadness,i suppose most of my writing emerges out of some f...
-0.09863994,9.592939,-0.7837785,fear,i did feel reluctant to keep on going and drew foc...
16.558956,-0.52614725,0.55825037,joy,i feel an important experience for short term miss...
9.700788,4.2246475,-3.0637603,sadness,i was reading through my old messages from knight ...
-8.735361,-0.37862554,3.2130725,sadness,i expect and hope the greater id feel disappointed...
14.906469,0.6586734,0.5556966,joy,i have the dried bladders all ready for a day im f...
-8.780421,0.30889845,0.15636592,anger,i was yelling to the group in front and not gettin...
-8.080907,0.087087,5.0400968,sadness,i am merely a man who will feel humiliated wheneve...
-5.575021,2.6405723,2.7798748,surprise,i barely even feel like explaining the weird histo...
0.8788173,3.2072856,-1.19507,love,i just think about all the day i chatted with my m...
5.399064,2.8006892,1.2762377,joy,i am planning for at the beginning of this year an...
-7.1259356,3.9232087,-0.2000824,fear,i understand the feeling of a writer unsure of his...
9.66879,2.4499633,2.9736018,love,i just feel that as my reader and loyal subscriber...
1.2521085,1.3438257,-2.4548802,joy,i forget that im supposed to be sad about being si...
